name,muni,ward_id,normalized_name,warning,election_day_registered,ballots_cast,nov_1_registered
Village of Bayside - Ward 1,05450,1,village of bayside ward 1,"WARNING: Combined in results: Village of Bayside Wards 1,3, combined results: 1057",711,629,721
Village of Bayside - Ward 1S,05450,1S,village of bayside ward 1s,"WARNING: Combined in results: Village of Bayside Wards 1S,3S, combined results: 72",31,31,31
Village of Bayside - Ward 2,05450,2,village of bayside ward 2,"WARNING: Combined in results: Village of Bayside Wards 2,4, combined results: 1263",525,476,526
Village of Bayside - Ward 3,05450,3,village of bayside ward 3,"WARNING: Combined in results: Village of Bayside Wards 1,3, combined results: 1057",483,428,490
Village of Bayside - Ward 3S,05450,3S,village of bayside ward 3s,"WARNING: Combined in results: Village of Bayside Wards 1S,3S, combined results: 72",42,41,42
Village of Bayside - Ward 4,05450,4,village of bayside ward 4,"WARNING: Combined in results: Village of Bayside Wards 2,4, combined results: 1263",868,787,869
Village of Bayside - Ward 5,05450,5,village of bayside ward 5,,769,712,768
Village of Bayside - Ward 6,,,village of bayside ward 6,Not reported in results,,,94
Village of Brown Deer - Ward 1,10375,1,village of brown deer ward 1,"WARNING: Combined in results: Village of Brown Deer Wards 1,2, combined results: 2498",1261,1122,1280
Village of Brown Deer - Ward 2,10375,2,village of brown deer ward 2,"WARNING: Combined in results: Village of Brown Deer Wards 1,2, combined results: 2498",1546,1376,1569
Village of Brown Deer - Ward 3,10375,3,village of brown deer ward 3,"WARNING: Combined in results: Village of Brown Deer Wards 3,4, combined results: 2495",1116,1019,1133
Village of Brown Deer - Ward 4,10375,4,village of brown deer ward 4,"WARNING: Combined in results: Village of Brown Deer Wards 3,4, combined results: 2495",1615,1476,1640
Village of Brown Deer - Ward 5,10375,5,village of brown deer ward 5,"WARNING: Combined in results: Village of Brown Deer Wards 5,6, combined results: 2483",1296,1176,1323
Village of Brown Deer - Ward 6,10375,6,village of brown deer ward 6,"WARNING: Combined in results: Village of Brown Deer Wards 5,6, combined results: 2483",1441,1307,1471
Village of Fox Point - Ward 1,27075,1,village of fox point ward 1,"WARNING: Combined in results: Village of Fox Point Wards 1,2,3,4, combined results: 2210",562,515,566
Village of Fox Point - Ward 2,27075,2,village of fox point ward 2,"WARNING: Combined in results: Village of Fox Point Wards 1,2,3,4, combined results: 2210",636,582,640
Village of Fox Point - Ward 3,27075,3,village of fox point ward 3,"WARNING: Combined in results: Village of Fox Point Wards 1,2,3,4, combined results: 2210",714,654,719
Village of Fox Point - Ward 4,27075,4,village of fox point ward 4,"WARNING: Combined in results: Village of Fox Point Wards 1,2,3,4, combined results: 2210",501,459,504
Village of Fox Point - Ward 5,27075,5,village of fox point ward 5,"WARNING: Combined in results: Village of Fox Point Wards 5,6,7,8,9, combined results: 2793",608,562,611
Village of Fox Point - Ward 6,27075,6,village of fox point ward 6,"WARNING: Combined in results: Village of Fox Point Wards 5,6,7,8,9, combined results: 2793",545,504,548
Village of Fox Point - Ward 7,27075,7,village of fox point ward 7,"WARNING: Combined in results: Village of Fox Point Wards 5,6,7,8,9, combined results: 2793",626,579,629
Village of Fox Point - Ward 8,27075,8,village of fox point ward 8,"WARNING: Combined in results: Village of Fox Point Wards 5,6,7,8,9, combined results: 2793",624,577,627
Village of Fox Point - Ward 9,27075,9,village of fox point ward 9,"WARNING: Combined in results: Village of Fox Point Wards 5,6,7,8,9, combined results: 2793",618,571,621
Village of Greendale - Ward 1,31125,1,village of greendale ward 1,"WARNING: Combined in results: Village of Greendale Wards 1,2, combined results: 1768",942,879,951
Village of Greendale - Ward 10,31125,10,village of greendale ward 10,"WARNING: Combined in results: Village of Greendale Wards 9,10, combined results: 2135",980,903,991
Village of Greendale - Ward 2,31125,2,village of greendale ward 2,"WARNING: Combined in results: Village of Greendale Wards 1,2, combined results: 1768",952,889,962
Village of Greendale - Ward 3,31125,3,village of greendale ward 3,"WARNING: Combined in results: Village of Greendale Wards 3,4, combined results: 2009",1072,988,1089
Village of Greendale - Ward 4,31125,4,village of greendale ward 4,"WARNING: Combined in results: Village of Greendale Wards 3,4, combined results: 2009",1108,1021,1126
Village of Greendale - Ward 5,31125,5,village of greendale ward 5,"WARNING: Combined in results: Village of Greendale Wards 5,6, combined results: 1784",1051,972,1066
Village of Greendale - Ward 6,31125,6,village of greendale ward 6,"WARNING: Combined in results: Village of Greendale Wards 5,6, combined results: 1784",878,812,890
Village of Greendale - Ward 7,31125,7,village of greendale ward 7,"WARNING: Combined in results: Village of Greendale Wards 7,8, combined results: 1762",868,800,878
Village of Greendale - Ward 8,31125,8,village of greendale ward 8,"WARNING: Combined in results: Village of Greendale Wards 7,8, combined results: 1762",1044,962,1055
Village of Greendale - Ward 9,31125,9,village of greendale ward 9,"WARNING: Combined in results: Village of Greendale Wards 9,10, combined results: 2135",1339,1232,1353
Village of Hales Corners - Ward 1,32075,1,village of hales corners ward 1,"WARNING: Combined in results: Village of Hales Corners Wards 1,2,3, combined results: 1641",703,641,709
Village of Hales Corners - Ward 2,32075,2,village of hales corners ward 2,"WARNING: Combined in results: Village of Hales Corners Wards 1,2,3, combined results: 1641",597,544,602
